Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25B0392,001,25BP0392,118400,495420,-3,,39,-893,-993,1966/11/28,1989/06/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25B0392,001,1968/01/15 00:00:00,199,
B25B0392,001,1968/01/29 00:00:00,201,
B25B0392,001,1968/02/14 00:00:00,201,
B25B0392,001,1968/02/28 00:00:00,214,
B25B0392,001,1968/03/28 00:00:00,223,
B25B0392,001,1968/04/14 00:00:00,225,
B25B0392,001,1968/04/30 00:00:00,216,
B25B0392,001,1968/05/14 00:00:00,227,
B25B0392,001,1968/05/28 00:00:00,219,
B25B0392,001,1968/06/15 00:00:00,231,
B25B0392,001,1968/06/29 00:00:00,218,
B25B0392,001,1968/07/16 00:00:00,214,
B25B0392,001,1968/07/30 00:00:00,221,
B25B0392,001,1968/08/16 00:00:00,224,
B25B0392,001,1968/08/30 00:00:00,226,
B25B0392,001,1968/09/14 00:00:00,228,
B25B0392,001,1968/09/28 00:00:00,221,
B25B0392,001,1968/10/15 00:00:00,210,
B25B0392,001,1968/10/29 00:00:00,213,
B25B0392,001,1968/11/15 00:00:00,220,
B25B0392,001,1968/11/29 00:00:00,217,
B25B0392,001,1968/12/14 00:00:00,215,
B25B0392,001,1968/12/31 00:00:00,195,
B25B0392,001,1969/01/01 00:00:00,195,
B25B0392,001,1969/01/15 00:00:00,195,
B25B0392,001,1969/01/28 00:00:00,200,
B25B0392,001,1969/02/14 00:00:00,206,
B25B0392,001,1969/02/28 00:00:00,199,
B25B0392,001,1969/03/15 00:00:00,200,
B25B0392,001,1969/03/29 00:00:00,211,
B25B0392,001,1969/04/15 00:00:00,214,
B25B0392,001,1969/04/30 00:00:00,205,
B25B0392,001,1969/05/15 00:00:00,209,
B25B0392,001,1969/05/29 00:00:00,204,
B25B0392,001,1969/06/17 00:00:00,207,
B25B0392,001,1969/06/28 00:00:00,215,
B25B0392,001,1969/07/15 00:00:00,219,
B25B0392,001,1969/07/30 00:00:00,211,
B25B0392,001,1969/08/15 00:00:00,224,
B25B0392,001,1969/08/29 00:00:00,212,
B25B0392,001,1969/09/30 00:00:00,222,
B25B0392,001,1969/10/29 00:00:00,222,
B25B0392,001,1969/11/15 00:00:00,221,
B25B0392,001,1969/11/29 00:00:00,212,
B25B0392,001,1969/12/16 00:00:00,209,
B25B0392,001,1969/12/31 00:00:00,208,
B25B0392,001,1970/01/01 00:00:00,208,
B25B0392,001,1970/01/14 00:00:00,208,
B25B0392,001,1970/01/28 00:00:00,211,
B25B0392,001,1970/02/16 00:00:00,211,
B25B0392,001,1970/02/27 00:00:00,209,
B25B0392,001,1970/03/13 00:00:00,210,
B25B0392,001,1970/03/27 00:00:00,208,
B25B0392,001,1970/04/15 00:00:00,214,
B25B0392,001,1970/04/28 00:00:00,213,
B25B0392,001,1970/05/14 00:00:00,216,
B25B0392,001,1970/05/28 00:00:00,221,
