Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-10/06/2017
Datum: 10/06/2017
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B25B0420,001,25BP0420,114080,493390,-141,,-121,-2041,-2141,1972/05/29,1995/11/07
B25B0420,001,25BP0420,114080,493390,-141,,,-2041,-2141,1995/11/07,1999/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B25B0420,001,1972/05/29 00:00:00,107,
B25B0420,001,1972/06/14 00:00:00,110,
B25B0420,001,1972/07/14 00:00:00,118,
B25B0420,001,1972/07/28 00:00:00,111,
B25B0420,001,1972/08/14 00:00:00,113,
B25B0420,001,1972/08/28 00:00:00,116,
B25B0420,001,1972/09/14 00:00:00,117,
B25B0420,001,1972/09/28 00:00:00,118,
B25B0420,001,1972/10/13 00:00:00,118,
B25B0420,001,1972/10/27 00:00:00,113,
B25B0420,001,1972/11/14 00:00:00,106,
B25B0420,001,1972/11/28 00:00:00,102,
B25B0420,001,1972/12/14 00:00:00,104,
B25B0420,001,1972/12/28 00:00:00,103,
B25B0420,001,1973/01/15 00:00:00,102,
B25B0420,001,1973/01/29 00:00:00,101,
B25B0420,001,1973/02/28 00:00:00,101,
B25B0420,001,1973/03/16 00:00:00,102,
B25B0420,001,1973/03/28 00:00:00,101,
B25B0420,001,1973/04/16 00:00:00,102,
B25B0420,001,1973/04/27 00:00:00,96,
B25B0420,001,1973/05/14 00:00:00,102,
B25B0420,001,1973/05/28 00:00:00,102,
B25B0420,001,1973/06/14 00:00:00,102,
B25B0420,001,1973/06/29 00:00:00,108,
B25B0420,001,1973/07/13 00:00:00,109,
B25B0420,001,1973/07/27 00:00:00,97,
B25B0420,001,1973/08/14 00:00:00,106,
B25B0420,001,1973/09/04 00:00:00,102,
B25B0420,001,1973/09/14 00:00:00,107,
B25B0420,001,1973/09/28 00:00:00,103,
B25B0420,001,1973/10/15 00:00:00,89,
B25B0420,001,1973/10/29 00:00:00,90,
B25B0420,001,1973/11/16 00:00:00,84,
B25B0420,001,1973/11/28 00:00:00,80,
B25B0420,001,1973/12/14 00:00:00,78,
B25B0420,001,1974/01/03 00:00:00,76,
B25B0420,001,1974/02/28 00:00:00,77,
B25B0420,001,1974/03/14 00:00:00,80,
B25B0420,001,1974/03/28 00:00:00,87,
B25B0420,001,1974/04/16 00:00:00,98,
B25B0420,001,1974/04/29 00:00:00,99,
B25B0420,001,1974/05/14 00:00:00,92,
B25B0420,001,1974/06/17 00:00:00,100,
B25B0420,001,1974/06/28 00:00:00,102,
B25B0420,001,1974/08/14 00:00:00,103,
B25B0420,001,1974/08/29 00:00:00,107,
B25B0420,001,1974/09/13 00:00:00,107,
B25B0420,001,1974/09/27 00:00:00,98,
B25B0420,001,1974/10/28 00:00:00,85,
B25B0420,001,1974/11/14 00:00:00,104,
B25B0420,001,1974/11/28 00:00:00,84,
B25B0420,001,1974/12/13 00:00:00,78,
B25B0420,001,1974/12/27 00:00:00,78,
B25B0420,001,1975/01/14 00:00:00,85,
B25B0420,001,1975/01/28 00:00:00,73,
B25B0420,001,1975/02/14 00:00:00,82,
B25B0420,001,1975/02/28 00:00:00,79,
B25B0420,001,1975/03/14 00:00:00,81,
B25B0420,001,1975/03/27 00:00:00,70,
B25B0420,001,1975/04/14 00:00:00,77,
B25B0420,001,1975/04/28 00:00:00,78,
B25B0420,001,1975/05/14 00:00:00,82,
B25B0420,001,1975/05/28 00:00:00,86,
B25B0420,001,1975/06/13 00:00:00,89,
B25B0420,001,1975/06/27 00:00:00,95,
B25B0420,001,1975/07/28 00:00:00,101,
B25B0420,001,1975/08/14 00:00:00,105,
B25B0420,001,1975/08/28 00:00:00,104,
B25B0420,001,1975/09/15 00:00:00,104,
B25B0420,001,1975/09/29 00:00:00,101,
B25B0420,001,1975/10/14 00:00:00,99,
B25B0420,001,1975/10/28 00:00:00,107,
B25B0420,001,1975/11/14 00:00:00,96,
B25B0420,001,1975/11/28 00:00:00,95,
B25B0420,001,1975/12/15 00:00:00,97,
B25B0420,001,1975/12/29 00:00:00,95,
B25B0420,001,1976/02/14 00:00:00,97,
B25B0420,001,1976/02/28 00:00:00,101,
B25B0420,001,1976/03/14 00:00:00,100,
B25B0420,001,1976/03/28 00:00:00,104,
B25B0420,001,1976/04/14 00:00:00,104,
B25B0420,001,1976/04/28 00:00:00,107,
B25B0420,001,1976/05/14 00:00:00,110,
B25B0420,001,1976/05/28 00:00:00,108,
B25B0420,001,1976/06/14 00:00:00,120,
B25B0420,001,1976/06/28 00:00:00,119,
B25B0420,001,1976/07/14 00:00:00,118,
B25B0420,001,1976/07/28 00:00:00,116,
B25B0420,001,1976/08/14 00:00:00,118,
B25B0420,001,1976/08/28 00:00:00,130,
B25B0420,001,1976/09/14 00:00:00,135,
B25B0420,001,1976/09/28 00:00:00,139,
B25B0420,001,1976/10/14 00:00:00,137,
B25B0420,001,1976/10/28 00:00:00,143,
B25B0420,001,1976/11/14 00:00:00,139,
B25B0420,001,1977/01/14 00:00:00,122,
B25B0420,001,1977/01/28 00:00:00,120,
B25B0420,001,1977/02/14 00:00:00,119,
B25B0420,001,1977/02/28 00:00:00,115,
B25B0420,001,1977/03/14 00:00:00,112,
B25B0420,001,1977/03/28 00:00:00,108,
B25B0420,001,1977/04/14 00:00:00,105,
B25B0420,001,1977/04/28 00:00:00,109,
B25B0420,001,1977/05/13 00:00:00,108,
B25B0420,001,1977/05/27 00:00:00,115,
B25B0420,001,1977/06/14 00:00:00,166,
B25B0420,001,1977/06/28 00:00:00,164,
B25B0420,001,1977/07/14 00:00:00,118,
B25B0420,001,1977/07/28 00:00:00,130,
B25B0420,001,1977/08/29 00:00:00,108,
B25B0420,001,1977/09/14 00:00:00,121,
B25B0420,001,1977/09/28 00:00:00,120,
B25B0420,001,1978/01/16 00:00:00,144,
B25B0420,001,1978/01/27 00:00:00,146,
B25B0420,001,1978/02/14 00:00:00,145,
B25B0420,001,1978/02/28 00:00:00,141,
B25B0420,001,1978/03/14 00:00:00,134,
